search_date,search_timestamp,departure_date,days_before_departure,origin,destination,route,departure_time,arrival_time,duration_minutes,airline_code,airline_name,airline_type,flight_number,aircraft,origin_terminal,destination_terminal,departure_hour,is_weekend,day_of_week,month,min_price,max_price,avg_price,price_range,min_published_price,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T22:30:00,2026-02-15T00:50:00,140,SG,Spicejet,Budget,879,,,,22,True,5,2,5354,6952,5817.0,1598,5354,Economy,False,Inst_Series2,15KG,7KG,3
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T21:10:00,2026-02-14T23:35:00,145,SG,Spicejet,Budget,105,,,,21,True,5,2,5354,10954,8047.8,5600,5354,Economy,False,Inst_Series2,15KG,7KG,4
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T15:00:00,2026-02-14T17:20:00,140,6E,Indigo,Budget,6022,321,1,2,15,True,5,2,5744,32748,14393.0,27004,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,11
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T12:45:00,2026-02-14T15:05:00,140,6E,Indigo,Budget,6051,321,1,2,12,True,5,2,5744,32748,14393.0,27004,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,6
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T16:00:00,2026-02-14T18:20:00,140,6E,Indigo,Budget,6318,321,1,2,16,True,5,2,5744,27480,12988.166666666666,21736,5744,Economy,True,Saver (Regular),15 Kilograms,7 KG,10
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T13:50:00,2026-02-14T16:10:00,140,6E,Indigo,Budget,6676,321,1,2,13,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,6
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T20:00:00,2026-02-14T22:20:00,140,6E,Indigo,Budget,6773,321,1,2,20,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,26
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T19:00:00,2026-02-14T21:25:00,145,6E,Indigo,Budget,354,321,1,2,19,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,Saver (Regular),15 Kilograms,7 KG,30
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T21:00:00,2026-02-14T23:25:00,145,6E,Indigo,Budget,395,321,1,2,21,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,Saver (Regular),15 Kilograms,7 KG,12
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T23:30:00,2026-02-15T01:55:00,145,6E,Indigo,Budget,519,321,1,2,23,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,Saver (Regular),15 Kilograms,7 KG,57
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T18:00:00,2026-02-14T20:25:00,145,6E,Indigo,Budget,810,321,1,2,18,True,5,2,5744,27480,12988.166666666666,21736,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,4
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T17:00:00,2026-02-14T19:25:00,145,6E,Indigo,Budget,864,321,1,2,17,True,5,2,5744,27480,12988.166666666666,21736,5744,Economy,True,Saver (Regular),15 Kilograms,7 KG,15
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T22:15:00,2026-02-15T00:50:00,155,6E,Indigo,Budget,6114,321,1,2,22,True,5,2,5744,23265,11583.333333333334,17521,5744,Economy,True,SME.CrpCon,15 Kilograms,7 KG,55
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T21:00:00,2026-02-14T23:20:00,140,AI,Air India,Premium,2981,32N,3,2,21,True,5,2,5844,6001,5922.5,157,5844,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T22:00:00,2026-02-15T00:25:00,145,AI,Air India,Premium,2999,321,3,2,22,True,5,2,5844,6001,5922.5,157,5844,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T22:30:00,2026-02-15T00:55:00,145,AI,Air India,Premium,2437,32N,3,2,22,True,5,2,5844,6001,5922.5,157,5844,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T23:00:00,2026-02-15T01:25:00,145,AI,Air India,Premium,2439,32N,3,2,23,True,5,2,5844,6001,5922.5,157,5844,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T17:30:00,2026-02-14T20:00:00,150,AI,Air India,Premium,1736,319,2,2,17,True,5,2,5893,6051,5972.0,158,5893,Economy,False,Publish,15 KG,7 KG,4
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T19:00:00,2026-02-14T21:30:00,150,AI,Air India,Premium,2977,32N,3,2,19,True,5,2,5893,6051,5972.0,158,5893,Economy,False,Publish,15 KG,7 KG,3
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T19:40:00,2026-02-14T22:10:00,150,AI,Air India,Premium,2985,32N,3,2,19,True,5,2,5893,6051,5972.0,158,5893,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T17:05:00,2026-02-14T19:35:00,150,AI,Air India,Premium,441,77W,3,2,17,True,5,2,5893,6051,5972.0,158,5893,Economy,False,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T20:30:00,2026-02-14T23:05:00,155,AI,Air India,Premium,2957,32N,3,2,20,True,5,2,5893,6051,5972.0,158,5893,Economy,False,Publish,15 KG,7 KG,2
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T20:10:00,2026-02-14T22:35:00,145,IX,Air India Express,Premium,1235,7M8,1,2,20,True,5,2,6058,7108,6425.5,1050,6058,Economy,True,Corporate Value,15KG,7 KG,1
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T14:00:00,2026-02-14T16:35:00,155,AI,Air India,Premium,2441,321,3,2,14,True,5,2,6200,6357,6278.5,157,6200,Economy,True,Publish,15 KG,7 KG,2
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T13:20:00,2026-02-14T15:45:00,145,AI,Air India,Premium,2951,32N,3,2,13,True,5,2,6501,6539,6520.0,38,6501,Economy,True,Publish,15 KG,7 KG,1
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T21:30:00,2026-02-14T23:55:00,145,AI,Air India,Premium,2433,32N,3,2,21,True,5,2,6677,6715,6696.0,38,6677,Economy,True,Publish,15 KG,7 KG,2
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T18:00:00,2026-02-14T20:20:00,140,AI,Air India,Premium,2955,32N,3,2,18,True,5,2,6735,6774,6754.5,39,6735,Economy,True,Publish,15 KG,7 KG,9
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T16:00:00,2026-02-14T18:20:00,140,QP,Akasa Air,Budget,1128,7BH,1,1,16,True,5,2,6989,7455,7188.75,466,6989,Economy,True,Corporate,15KG,7 KG,2
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T17:15:00,2026-02-14T19:15:00,120,6E,Indigo,Budget,6210,320,1,,17,True,5,2,7778,9353,8250.5,1575,7778,Economy,True,SME.CrpCon,15 Kilograms,7 KG,1
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T16:30:00,2026-02-14T19:00:00,150,AI,Air India,Premium,2941,32N,3,2,16,True,5,2,9143,9159,9151.0,16,9143,Economy,True,SME,15 KG,7 KG,1
2026-02-14,2026-02-14 04:20:39,2026-02-14,0,DEL,BOM,DEL-BOM,2026-02-14T17:30:00,2026-02-14T19:50:00,140,QP,Akasa Air,Budget,1820,7YL,1,1,17,True,5,2,9370,9935,9644.0,565,9370,Economy,True,Corporate,15KG,7 KG,8
