route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-14,2026-02-14,0,5354,15913,6788.181818181818,5844,2488.8376190934746,5,"6E,AI,IX,QP,SG",33,True,5,2
BLR-DEL,2026-02-14,2026-02-14,0,8760,21999,15336.05,19443,4732.434272919171,3,"6E,AI,SG",20,True,5,2
BLR-BOM,2026-02-14,2026-02-14,0,5051,13355,6289.294117647059,5381,2085.5189441565826,4,"6E,AI,IX,QP",17,True,5,2
HYD-DEL,2026-02-14,2026-02-14,0,12481,16623,14893.733333333334,13999,1669.1904411686794,3,"6E,AI,QP",15,True,5,2
HYD-BOM,2026-02-14,2026-02-14,0,6925,13591,9356.5,8365,2497.5756745292024,2,"6E,AI",8,True,5,2
MAA-DEL,2026-02-14,2026-02-14,0,7272,27308,10919.545454545454,8511,6099.744471006162,3,"6E,AI,SG",11,True,5,2
MAA-BOM,2026-02-14,2026-02-14,0,4987,10836,6166.2,5219,1958.4894076813384,4,"6E,AI,QP,SG",10,True,5,2
CCU-DEL,2026-02-14,2026-02-14,0,7559,10291,8669.125,8561,728.1102144421543,4,"6E,AI,QP,SG",16,True,5,2
CCU-BOM,2026-02-14,2026-02-14,0,12694,24225,16225.4,15145,3332.103185677178,4,"6E,AI,QP,SG",10,True,5,2
PNQ-DEL,2026-02-14,2026-02-14,0,10032,16195,12481.142857142857,11464,2457.236800529723,4,"6E,AI,IX,QP",7,True,5,2
PNQ-BLR,2026-02-14,2026-02-14,0,8852,10248,9532.0,9201,595.7371903784419,3,"6E,IX,QP",5,True,5,2
AMD-BOM,2026-02-14,2026-02-14,0,8607,27388,11931.0,8831,6423.849780310869,2,"6E,AI",7,True,5,2
AMD-DEL,2026-02-14,2026-02-14,0,10595,42498,16248.615384615385,13391,8061.921927168691,3,"6E,AI,SG",13,True,5,2
GOI-BOM,2026-02-14,2026-02-14,0,3845,8796,6130.5625,5852,1760.2442291039474,5,"6E,AI,IX,QP,SG",16,True,5,2
GOI-BLR,2026-02-14,2026-02-14,0,6159,8468,7233.75,7524,860.9559730323032,2,"6E,IX",4,True,5,2
COK-BLR,2026-02-14,2026-02-14,0,8030,8535,8282.5,8535,252.5,2,"9I,IX",2,True,5,2
JAI-DEL,2026-02-14,2026-02-14,0,4590,9133,7006.5,8160,1711.0504327264389,4,"6E,9I,AI,IX",6,True,5,2
LKO-DEL,2026-02-14,2026-02-14,0,6896,12644,8949.777777777777,9088,1589.1041346045527,3,"6E,AI,IX",9,True,5,2
PAT-DEL,2026-02-14,2026-02-14,0,5399,9119,6716.6,6478,1197.6723425044097,4,"6E,AI,IX,SG",10,True,5,2
SXR-DEL,2026-02-14,2026-02-14,0,5073,33567,11154.2,9919,7965.199091045999,5,"6E,AI,IX,QP,SG",10,True,5,2
BOM-DEL,2026-02-14,2026-02-14,0,9175,28725,15060.592592592593,14194,5392.256624149658,4,"6E,AI,IX,QP",27,True,5,2
DEL-BLR,2026-02-14,2026-02-14,0,6882,10317,8004.032258064516,7707,869.6947734460737,5,"6E,AI,IX,QP,SG",31,True,5,2
BOM-BLR,2026-02-14,2026-02-14,0,6993,18221,11466.842105263158,11603,3371.5528557742914,5,"6E,AI,IX,QP,SG",19,True,5,2
DEL-HYD,2026-02-14,2026-02-14,0,5473,8233,6045.1578947368425,5815,637.4721676614096,4,"6E,AI,QP,SG",19,True,5,2
BOM-HYD,2026-02-14,2026-02-14,0,5798,15997,8914.777777777777,7737,3105.769032615049,3,"6E,9I,AI",9,True,5,2
DEL-MAA,2026-02-14,2026-02-14,0,6218,62054,11464.90909090909,6322,15998.548987924132,2,"6E,AI",11,True,5,2
BOM-MAA,2026-02-14,2026-02-14,0,4648,22593,11527.923076923076,13006,5854.9229576687585,3,"6E,AI,SG",13,True,5,2
DEL-CCU,2026-02-14,2026-02-14,0,4950,22538,8346.6,7114,3989.2499846462365,4,"6E,AI,QP,SG",15,True,5,2
BOM-CCU,2026-02-14,2026-02-14,0,11272,28541,18392.11111111111,18935,6088.255788254127,4,"6E,AI,QP,SG",9,True,5,2
